pl_name,pl_orbper,pl_rade,st_teff,pl_orbsmax,pl_insol,pl_eqt,log_orbper,log_insol,radius_earth_ratio,hz_proximity,habitable
K2-199 b,3.2253993,1.73,4491.0,0.0382,116.2,913.0,1.4411137652191943,4.763881877142913,1.73,0.0,0
K2-199 c,7.3744897,2.85,4491.0,0.0662,38.6,694.0,2.125190144511457,3.6788291182604347,2.85,0.0,0
K2-21 b,9.32414,1.59,4043.0,0.0731,11.0,500.0,2.3344848423998354,2.4849066497880004,1.59,0.0,0
K2-21 c,15.5012,1.92,4043.0,0.1026,5.6,420.0,2.8034331055347623,1.8870696490323797,1.92,0.0,0
K2-216 b,2.1748,1.75,4503.0,0.028,248.0,1103.0,1.1552446382345833,5.517452896464707,1.75,0.0,0
K2-222 b,15.38857,2.35,5942.0,0.1206,96.0,871.0,2.7965841406272345,4.574710978503383,2.35,0.0,0
K2-233 b,2.46746,1.398,4950.0,0.03317,273.0,1040.0,1.2434223374517765,5.6131281063880705,1.398,0.0,0
K2-233 b,2.467583,1.315,4796.0,0.03293,269.0,1127.0,1.2434578094740878,5.598421958998375,1.315,0.0,0
K2-233 c,7.06024,1.272,4796.0,0.0664,66.2,794.0,2.0869433327501588,4.207673247529104,1.272,0.0,0
K2-233 c,7.06142,1.335,4950.0,0.06687,67.1,728.0,2.087089719660949,4.220977213155467,1.335,0.0,0
K2-233 d,24.3662,2.64,4950.0,0.1527,12.9,482.0,3.2334175791840516,2.631888840136646,2.64,0.0,0
K2-233 d,24.3681,2.363,4796.0,0.1516,12.7,525.0,3.2334924792024173,2.617395832834079,2.363,0.0,0
K2-237 b,2.18053539,16.19697711,6360.0,0.03558,1860.0,1828.0,1.1570495442560762,7.528869256642251,16.19697711,0.0,0
